Node,Cost
176899,19
231396,25
27448,16
180978,28
28153,17
214030,19
102030,21
90092,16
146887,21
115617,21
66711,23
237580,25
257649,30
208239,21
118190,19
258722,26
60773,21
97223,18
193912,22
242396,26
158729,25
141966,20
191377,27
261298,43
167263,22
148374,23
99644,20
127075,19
27500,14
62461,22
250157,27
164563,21
100801,22
85283,22
60814,17
220493,25
172221,22
213462,23
207317,24
209733,23
104460,19
2542,10
226828,26
170728,21
147721,21
140008,24
49218,16
183281,24
52359,20
235940,27
244933,29
73384,16
194411,25
208528,24
97613,21
141505,21
59936,19
54726,20
171817,21
174186,21
50966,13
208262,23
120359,16
46649,18
18600,15
168992,22
161938,22
230282,24
149444,19
228173,24
190482,25
252712,26
63374,17
113023,23
238730,27
19742,16
110300,21
49797,18
233849,26
260516,33
171959,19
159175,19
140978,22
216461,24
69,3
84222,23
23412,14
1933,11
96128,19
153114,20
60143,20
121898,21
150373,26
253779,31
130611,19
133366,21
260858,38
246348,23
220232,23
222706,27
123967,17
70364,19
220090,22
45971,18
107043,18
242940,25
82928,17
251519,29
236431,29
256761,30
207299,26
139788,20
98256,16
7930,16
121025,20
228759,26
60539,16
222552,23
90293,19
177006,20
134276,17
157597,19
23063,17
250809,27
234811,26
137528,23
72203,17
204781,23
203708,24
261965,29
31259,13
60732,17
227781,27
168477,21
240141,26
55972,21
252216,31
207361,22
184210,21
175592,19
225604,22
251494,27
120326,20
131966,24
167715,20
44856,21
95473,17
151185,20
84173,20
56286,17
9021,12
201046,22
205865,25
202179,25
238602,27
9550,16
80658,19
68224,20
117625,20
128087,21
28230,17
223675,22
79702,17
174534,23
241343,24
36570,16
196263,24
2727,10
48769,17
13927,13
233060,23
173873,25
172119,22
21529,14
1986,7
179311,19
150280,21
81662,18
5377,13
159130,21
227002,28
141854,18
47516,17
211756,23
143110,22
13791,17
51216,18
221565,24
209201,20
255765,31
73055,19
134228,20
199956,23
44044,16
205960,23
19567,15
116265,18
255894,28
57650,19
254005,29
42548,16
195638,25
93577,18
4886,9
203670,19
217626,23
190948,27
38717,18
45217,19
47509,12
67705,11
167922,23
147634,23
144094,23
179427,22
134936,22
255834,27
69735,15
94160,20
37000,20
253177,29
37881,19
72189,15
220590,25
237653,20
117153,18
171550,24
205887,25
249622,28
250281,25
81738,20
215367,22
214253,30
94228,19
249075,29
165783,24
61375,15
187374,22
241819,26
25962,18
83160,20
120861,19
105241,21
20578,17
183594,27
205871,26
90612,22
57006,18
45917,23
197100,25
150363,23
102300,17
53653,18
62553,19
254705,30
61559,19
102045,17
128145,27
200501,28
110442,19
194187,23
87059,21
23325,16
148705,16
141004,19
64827,19
201035,20
68989,15
124645,21
110355,23
36298,17
80190,19
153111,23
226601,24
238412,29
192639,22
249593,24
18070,12
254436,30
15801,13
132947,20
131545,18
74159,16
195817,26
